1,2020,4,20,1,20200420,NULL,NULL,NULL
1,2020,5,4,4,20200504,,,
1,2020,5,11,2,20200511,,,
1,2020,10,19,1,20201019,,,
1,2020,11,16,10,20201116,,,
3,2020,1,6,2,20200106,,,
3,2020,1,27,2,20200127,,,
3,2020,2,3,2,20200203,,,
3,2020,2,10,1,20200210,,,
3,2020,2,17,0,20200217,,,
3,2020,3,2,1,20200302,,,
3,2020,3,9,0,20200309,,,
3,2020,3,16,2,20200316,,,
3,2020,3,23,8,20200323,,,
3,2020,3,30,14,20200330,,,
3,2020,4,6,6,20200406,,,
3,2020,4,13,15,20200413,,,
3,2020,4,20,31,20200420,,,
3,2020,4,27,30,20200427,,,
3,2020,5,4,10,20200504,,,
3,2020,5,11,4,20200511,,,
3,2020,5,18,2,20200518,,,
3,2020,10,19,3,20201019,,,
3,2020,11,16,20,20201116,,,
4,2020,2,24,0,20200224,,,
4,2020,3,2,0,20200302,,,
4,2020,3,9,1,20200309,,,
4,2020,3,16,1,20200316,,,
4,2020,3,23,6,20200323,,,
4,2020,3,30,14,20200330,,,
4,2020,4,6,4,20200406,,,
4,2020,4,13,2,20200413,,,
4,2020,4,20,22,20200420,,,
4,2020,4,27,24,20200427,,,
4,2020,5,4,10,20200504,,,
4,2020,5,11,4,20200511,,,
4,2020,10,19,1,20201019,,,
4,2020,11,16,20,20201116,,,
5,2020,4,6,0,20200406,,,
5,2020,4,13,4,20200413,,,
5,2020,4,20,1,20200420,,,
5,2020,4,27,17,20200427,,,
5,2020,10,19,1,20201019,,,
6,2020,3,2,0,20200302,,,
6,2020,3,16,3,20200316,,,
6,2020,3,23,1,20200323,,,
6,2020,3,30,2,20200330,,,
6,2020,4,6,3,20200406,,,
6,2020,4,13,10,20200413,,,
6,2020,4,20,28,20200420,,,
6,2020,4,27,15,20200427,,,
6,2020,5,11,1,20200511,,,
6,2020,10,19,1,20201019,,,
6,2020,11,16,20,20201116,,,
7,2020,3,16,1,20200316,,,
7,2020,3,23,4,20200323,,,
7,2020,3,30,1,20200330,,,
7,2020,4,6,9,20200406,,,
7,2020,4,13,2,20200413,,,
7,2020,4,20,32,20200420,,,
7,2020,4,27,22,20200427,,,
7,2020,10,19,1,20201019,,,
7,2020,11,16,20,20201116,,,
11,2020,2,10,1,20200210,,,
11,2020,2,24,1,20200224,,,
11,2020,3,2,1,20200302,,,
11,2020,3,16,3,20200316,,,
11,2020,3,23,1,20200323,,,
11,2020,10,19,1,20201019,,,
11,2020,12,14,2,20201214,,,
13,2020,1,6,7,20200106,,,
13,2020,1,13,7,20200113,,,
13,2020,1,20,2,20200120,,,
13,2020,1,27,12,20200127,,,
13,2020,2,3,7,20200203,,,
13,2020,2,10,33,20200210,,,
13,2020,2,17,25,20200217,,,
13,2020,2,24,15,20200224,,,
13,2020,3,2,20,20200302,,,
13,2020,3,9,5,20200309,,,
13,2020,3,16,14,20200316,,,
13,2020,3,23,3,20200323,,,
13,2020,10,19,2,20201019,,,
13,2020,12,7,2,20201207,,,
13,2020,12,14,20,20201214,,,
14,2020,1,6,2,20200106,,,
14,2020,1,13,1,20200113,,,
14,2020,1,20,2,20200120,,,
14,2020,1,27,3,20200127,,,
14,2020,2,3,0,20200203,,,
14,2020,2,10,8,20200210,,,
14,2020,2,17,14,20200217,,,
14,2020,2,24,20,20200224,,,
14,2020,3,2,11,20200302,,,
14,2020,3,9,9,20200309,,,
14,2020,3,16,17,20200316,,,
14,2020,3,23,3,20200323,,,
14,2020,3,30,1,20200330,,,
14,2020,10,19,1,20201019,,,
14,2020,12,7,2,20201207,,,
14,2020,12,14,20,20201214,,,
15,2020,2,17,5,20200217,,,
15,2020,2,24,11,20200224,,,
15,2020,3,2,8,20200302,,,
