2018,1,1,8,50
2018,1,2,15,50
2018,1,3,22,50
2018,1,4,29,50
2018,2,1,5,50
2018,2,2,12,50
2018,2,3,19,50
2018,2,4,26,50
2018,3,1,5,50
2018,3,2,12,50
2018,3,3,19,50
2018,3,4,26,50
2018,4,1,2,50
2018,4,2,9,50
2018,4,3,16,50
2018,4,4,23,50
2018,4,5,30,50
2018,5,1,7,50
2018,5,2,14,50
2018,5,3,21,50
2018,5,4,28,50
2018,6,1,4,40
2018,6,2,11,40
2018,6,3,18,40
2018,6,4,25,40
2018,7,1,2,40
2018,7,2,9,40
2018,7,3,16,40
2018,7,4,23,40
2018,7,5,30,40
2018,8,1,6,40
2018,8,2,13,40
2018,8,3,20,40
2018,8,4,27,40
2018,9,1,3,40
2018,9,2,10,40
2018,9,3,17,40
2018,9,4,24,40
2018,10,1,1,40
2018,10,2,8,40
2018,10,3,15,40
2018,10,4,22,40
2018,10,5,29,40
2018,11,1,5,40
2018,11,2,12,40
2018,11,3,19,40
2018,11,4,26,40
2018,12,1,3,40
2018,12,2,10,40
2018,12,3,17,40
2018,12,4,24,40
2018,12,5,31,40
2019,1,1,7,50
2019,1,2,14,50
2019,1,3,21,50
2019,1,4,28,50
2019,2,1,4,50
2019,2,2,11,50
2019,2,3,18,50
2019,2,4,25,50
2019,3,1,4,50
2019,3,2,11,50
2019,3,3,18,50
2019,3,4,25,50
2019,4,1,1,50
2019,4,2,8,50
2019,4,3,15,50
2019,4,4,22,50
2019,4,5,29,50
2019,5,1,6,40
2019,5,2,13,40
2019,5,3,20,40
2019,5,4,27,40
2019,6,1,3,40
2019,6,2,10,40
2019,6,3,17,40
2019,6,4,24,40
2019,7,1,1,40
2019,7,2,8,40
2019,7,3,15,40
2019,7,4,22,40
2019,7,5,29,40
2019,8,1,5,40
2019,8,2,12,40
2019,8,3,19,40
2019,8,4,26,40
2019,9,1,2,40
2019,9,2,9,40
2019,9,3,16,40
2019,9,4,23,40
2019,9,5,30,40
2019,10,1,7,40
2019,10,2,14,40
2019,10,3,21,40
2019,10,4,28,40
2019,11,1,4,40
2019,11,2,11,40
2019,11,3,18,40
2019,11,4,25,40
2019,12,1,2,40
2019,12,2,9,40
2019,12,3,16,40
2019,12,4,23,40
2019,12,5,30,40
2020,1,1,6,50
2020,1,2,13,50
2020,1,3,20,50
2020,1,4,27,50
2020,2,1,3,50
2020,2,2,10,50
2020,2,3,17,50
2020,2,4,24,50
2020,3,1,2,50
2020,3,2,9,50
2020,3,3,16,50
2020,3,4,23,50
2020,3,5,30,50
2020,4,1,6,50
2020,4,2,13,50
2020,4,3,20,50
2020,4,4,27,50
2020,5,1,4,40
2020,5,2,11,40
2020,5,3,18,40
2020,5,4,25,40
2020,6,1,1,40
2020,6,2,8,40
2020,6,3,15,40
2020,6,4,22,40
2020,6,5,29,40
2020,7,1,6,40
2020,7,2,13,40
2020,7,3,20,40
2020,7,4,27,40
2020,8,1,3,40
2020,8,2,10,40
2020,8,3,17,40
2020,8,4,24,40
2020,8,5,31,40
2020,9,1,7,40
2020,9,2,14,40
2020,9,3,21,40
2020,9,4,28,40
2020,10,1,5,40
2020,10,2,12,40
2020,10,3,19,40
2020,10,4,26,40
2020,11,1,2,40
2020,11,2,9,40
2020,11,3,16,40
2020,11,4,23,40
2020,11,5,30,40
2020,12,1,7,40
2020,12,2,14,40
2020,12,3,21,40
2020,12,4,28,40
2021,1,1,4,50
2021,1,2,11,50
2021,1,3,18,50
2021,1,4,25,50
2021,2,1,1,50
2021,2,2,8,50
2021,2,3,15,50
2021,2,4,22,50
2021,3,1,1,50
2021,3,2,8,50
2021,3,3,15,50
2021,3,4,22,50
2021,3,5,29,50
2021,4,1,5,50
2021,4,2,12,50
2021,4,3,19,50
2021,4,4,26,50
2021,5,1,3,40
2021,5,2,10,40
2021,5,3,17,40
2021,5,4,24,40
2021,5,5,31,40
2021,6,1,7,40
2021,6,2,14,40
2021,6,3,21,40
2021,6,4,28,40
2021,7,1,5,40
2021,7,2,12,40
2021,7,3,19,40
2021,7,4,26,40
2021,8,1,2,40
2021,8,2,9,40
2021,8,3,16,40
2021,8,4,23,40
2021,8,5,30,40
2021,9,1,6,40
2021,9,2,13,40
2021,9,3,20,40
2021,9,4,27,40
2021,10,1,4,40
2021,10,2,11,40
2021,10,3,18,40
2021,10,4,25,40
2021,11,1,1,40
2021,11,2,8,40
2021,11,3,15,40
2021,11,4,22,40
2021,11,5,29,40
2021,12,1,6,40
2021,12,2,13,40
2021,12,3,20,40
2021,12,4,27,40
